,tree
456070,0
199600,0
299486,1
93528,1
501215,0
279270,1
453522,1
106278,1
444988,1
258669,1
348573,0
561007,0
219941,1
140180,0
479812,0
46253,0
95696,0
415464,0
41679,0
526823,0
542773,0
503303,0
555318,0
202267,1
277846,0
556350,0
161247,0
226160,1
198739,0
546558,0
506912,0
380233,0
441038,0
103760,1
23227,0
16628,0
165878,0
501718,0
564997,0
439207,0
353433,0
91625,1
126471,0
174753,1
234470,1
100244,1
298624,1
480338,0
306109,1
387485,0
174363,0
405836,1
355001,0
478379,0
231541,1
30636,0
153530,0
231048,1
128207,1
109023,1
471316,0
102013,1
61490,1
94018,0
520529,0
381138,1
37693,1
242096,0
383985,1
326685,1
33350,1
24838,0
421398,0
212106,1
528479,0
347497,0
520777,0
170741,0
261347,0
541538,0
461778,0
543432,0
410772,1
51024,1
341448,0
173177,0
580057,1
570737,0
251231,0
425869,0
274175,0
322039,0
91705,1
109897,1
191017,0
57696,0
135817,0
513577,0
239400,0
4327,0
136122,0
472495,0
169425,0
107924,0
119012,0
338914,0
117919,0
168784,0
203599,0
60258,0
231247,0
57385,0
281535,1
112292,1
158165,0
487650,0
154102,1
258512,1
319944,1
206685,1
386668,1
421298,0
458717,0
517599,0
378664,1
149099,0
282405,1
512741,0
444120,1
402894,0
63077,1
240473,0
187050,1
369037,1
3818,0
467982,1
465270,1
386260,1
515755,1
81264,0
317229,0
443481,1
1639,0
267413,0
163026,1
236346,1
540698,0
104797,1
107715,1
89970,0
432757,1
479493,0
531042,0
404703,1
565106,0
344914,1
318772,1
291226,1
411519,0
99273,1
312531,0
154859,0
561025,0
427365,0
30251,1
45730,0
49130,0
198334,0
546477,1
575675,1
353838,1
146317,0
1975,0
303336,0
96083,0
64115,0
372252,0
7485,0
90825,0
336724,1
486419,0
493792,0
405449,1
489676,0
18371,0
278710,0
364874,1
107139,1
193432,1
312720,0
426470,0
341536,0
57328,0
71893,1
251921,1
317779,0
178245,1
221383,1
170221,1
212780,0
39087,0
465508,1
524217,0
571356,0
208343,0
495034,0
433951,0
502417,0
225951,1
559131,0
427110,0
101522,1
349027,0
546326,1
563062,0
190940,0
23278,0
116435,0
368588,1
30422,1
131147,0
52803,0
15036,1
139545,1
14005,1
443620,0
437631,0
522380,0
188374,0
319540,1
204088,1
105918,1
434980,1
206854,1
261670,1
255071,1
468222,0
324507,0
203349,1
101539,1
214382,1
83537,1
177887,0
512934,0
292354,1
337047,0
184346,0
355894,0
386654,0
547677,0
2627,0
291232,1
7239,1
268648,0
460973,1
504680,0
356495,1
352814,0
374339,0
112880,1
505703,0
548258,0
185295,0
536421,0
442561,0
177244,1
2780,1
375736,1
420073,0
91424,0
235750,1
266812,0
137382,0
534587,0
490275,0
56420,1
75721,1
321374,1
315846,1
116813,1
384658,0
121104,0
475535,0
270216,1
174594,1
546116,1
103730,0
381063,1
505523,0
513676,0
50899,1
551615,0
231898,1
358606,0
556906,0
370055,0
516736,0
512449,0
311229,0
435944,0
236063,1
99180,1
167980,1
233717,1
115065,0
52659,1
77008,0
240793,1
118507,0
110298,1
476934,0
355803,0
576467,1
104291,1
51449,0
140434,0
340102,1
21169,0
537816,0
143697,0
31662,0
332505,1
252974,1
83214,1
82785,0
344332,0
98356,0
220587,1
61849,0
298567,1
491560,0
336352,1
25896,1
537237,0
65782,1
113886,1
310694,0
526371,0
157022,0
117907,0
388955,0
311313,0
447070,1
558776,0
102397,1
558804,0
501590,0
470275,0
125278,0
259485,1
342269,0
226607,1
544175,1
302377,1
389605,1
74101,0
166356,0
224224,1
401107,0
557769,0
566795,0
11724,1
91990,1
292499,1
217034,0
124797,0
16674,0
188862,1
375983,0
34888,0
376940,0
38346,0
472031,0
30166,0
72690,0
386837,1
20720,0
32160,0
289842,1
141110,1
311318,0
515488,0
469840,0
536453,0
347526,0
246622,1
164436,0
15481,0
98889,1
85393,0
336324,1
426654,0
2035,0
187463,0
158406,0
395980,1
520094,0
257595,1
61406,0
365586,1
47396,1
314703,1
352156,0
541010,0
318442,0
463431,1
6475,1
293841,1
556542,0
193698,0
447592,0
195002,0
482315,0
501785,0
79423,1
558331,0
185108,0
187315,0
71648,0
378349,0
265033,0
182114,0
109639,1
166821,1
380938,1
85845,0
399133,1
9432,1
570844,0
578120,1
497232,0
137102,0
371533,0
352774,0
93056,1
49354,0
548946,0
435816,1
245494,1
328485,1
54877,0
28636,0
94265,1
165432,0
401272,1
556626,0
160870,0
343844,1
121659,0
533605,0
463081,1
551887,0
170161,0
500240,0
449668,1
188390,1
311852,1
89383,1
425094,0
356545,0
70441,0
190620,0
331887,1
546908,0
294805,1
541310,0
48842,0
220808,1
152387,0
574082,1
277319,1
343567,0
214497,0
57545,0
140888,0
108505,1
16596,0
347468,0
156794,0
443471,1
241286,1
148270,0
413320,0
443563,1
577906,0
557859,0
384239,0
507536,0
269006,1
350367,0
403914,1
303057,0
2488,0
569266,0
522700,0
260439,1
569946,0
367903,0
326768,1
511417,0
474737,0
108487,1
441639,0
90451,1
476734,0
173328,0
391821,0
470554,0
390577,1
153738,0
96660,0
365678,0
26131,0
363621,0
58664,0
33762,0
118665,0
337330,0
366201,0
23717,0
294226,1
15657,0
233155,1
312763,1
184067,0
96132,0
12474,1
108934,1
381333,1
153533,0
252435,0
543088,0
206930,1
261178,1
207245,1
199851,1
363181,1
577091,0
320421,1
382477,1
229481,1
464894,0
11391,0
320676,0
487809,0
135728,0
286101,1
331712,1
486382,0
155234,0
223843,0
319428,1
67806,0
236672,1
126364,1
293050,1
105077,1
563379,0
124217,0
486399,0
284507,1
16780,0
258379,1
284603,0
366796,0
68095,0
6083,0
37301,1
81527,1
152421,1
241398,1
580695,0
447189,0
17114,0
509871,0
470601,0
561809,0
503702,0
468947,0
399236,1
191972,0
414582,1
13428,0
76827,1
161364,0
9511,0
307070,1
15951,1
124841,0
395465,0
55752,0
569665,0
18163,0
512957,0
496981,0
20398,1
546851,0
188639,1
535328,1
80999,1
463848,1
165827,0
27450,0
152072,0
338810,0
188454,1
129376,0
407891,1
21860,0
4538,0
41938,0
70630,0
444889,1
153517,0
277310,1
4282,0
4304,0
12607,0
410679,1
321652,1
100017,1
41756,0
180584,0
165633,0
405290,1
273404,1
347081,0
116205,0
139711,1
380160,0
4035,0
181385,0
64596,0
468011,1
379716,1
185974,1
469227,0
200977,1
328529,1
37561,0
117333,0
270852,1
28912,0
359783,0
362013,0
169913,0
553517,0
372618,0
522933,0
338667,0
54367,0
483082,0
38197,0
460012,1
287617,1
407660,0
47652,0
47586,0
207609,1
211979,1
64457,0
492719,0
244211,1
283635,1
390610,0
207253,1
295546,1
364220,0
15199,1
160161,1
425294,0
424190,0
77438,0
195677,0
487258,0
221607,1
506415,0
300183,1
201212,1
446345,0
470916,0
568852,0
504413,0
371312,0
392963,0
484900,0
80809,1
318653,0
382805,1
77310,0
86309,1
320887,0
183632,1
116274,0
220198,0
138826,0
219304,0
218195,0
451915,0
515455,0
132671,0
287628,1
413669,0
108530,1
554285,0
452137,0
76838,0
573740,0
44264,1
570993,0
49867,0
26009,0
296296,1
241216,1
576905,0
118425,0
457761,0
241393,1
74812,0
152108,0
276545,0
329589,0
448875,1
537517,0
49984,0
251442,0
383122,1
372,1
231416,1
261753,1
432212,0
114992,1
504959,0
137496,0
575662,1
367950,1
139239,0
560359,0
344363,0
570512,0
526058,0
430579,0
241736,1
544377,0
193087,0
319630,1
392738,0
22087,0
277739,1
444133,1
222808,1
24655,0
383454,1
505638,0
238055,1
453451,0
390232,0
360695,0
544393,0
572605,0
205488,0
68914,1
465754,0
79815,0
510327,0
66134,0
22987,1
302697,1
241769,1
459387,1
3216,0
533171,0
121249,0
360019,0
373165,1
49307,0
359477,1
126270,0
5265,0
517443,0
15471,0
354170,0
578991,0
375457,0
18626,0
64062,0
218850,0
180069,0
366445,1
429111,0
206186,1
238743,1
16712,1
485883,0
111010,1
356051,0
214092,0
166607,1
521404,0
314540,1
466896,1
58695,0
257174,1
410903,0
282373,1
203877,0
516390,0
228742,1
211069,1
637,0
200365,1
62145,1
313573,0
446138,1
580845,0
43464,1
236085,1
431384,0
550515,0
127878,0
194788,1
67025,0
544243,0
131351,0
412883,1
166449,0
69957,1
1089,0
385522,1
233430,0
248871,1
147371,0
313246,0
455569,1
29328,0
130293,0
74818,0
38078,0
301006,1
214817,0
518116,0
412704,0
212626,1
503216,0
301766,1
409509,1
559159,0
402413,1
35171,0
39469,0
367527,0
342971,1
513249,0
292335,1
420475,0
330001,0
447537,1
62045,0
293890,1
63238,1
87535,0
180747,1
393447,0
537605,0
148318,0
51828,0
295655,1
522334,0
527173,0
209958,1
335223,1
561787,0
101969,1
175655,0
263821,0
74208,1
181023,0
176768,0
84064,1
503290,0
309825,1
100512,0
162264,0
171234,0
259179,1
327527,0
160797,0
406547,1
288626,1
475330,0
561043,0
15095,0
353271,0
467491,0
384718,1
43631,0
387175,1
440396,0
222506,0
418273,0
321559,1
295505,0
264486,1
287226,1
314904,0
402739,0
150415,0
551383,0
108844,1
22121,0
323173,0
194435,0
222423,1
205057,1
307004,1
368186,1
292466,1
492688,0
117335,0
224673,0
266780,1
217468,0
520755,0
98012,1
109581,1
47732,1
198157,0
311541,0
551927,0
130752,0
459562,1
301835,1
50510,1
567099,0
108542,1
254918,0
79316,0
501908,0
514232,0
490311,0
129774,0
65939,0
128234,0
347730,0
440178,0
212580,1
471424,0
430665,0
1999,0
193193,0
318177,1
6680,1
252989,0
26076,0
178091,0
390247,0
445166,1
464829,0
334374,0
318753,0
137499,0
435403,1
468290,0
524496,0
166773,1
573628,0
444609,1
157385,0
19131,1
194184,0
345465,1
478290,0
84690,1
509180,1
535106,0
424443,0
389982,0
127347,0
193827,0
432953,0
577967,0
194794,1
452373,0
202946,1
181849,1
71723,0
524959,0
210709,0
159612,1
251989,0
180930,0
528849,0
254683,1
50348,0
106599,0
21064,1
72894,0
75738,0
323677,1
309025,1
213729,0
476967,0
533893,0
148336,0
108820,1
547395,0
3011,0
348503,0
60601,0
159884,0
523496,0
219187,0
361482,1
357714,0
165117,0
189393,0
194963,0
363075,1
495120,0
113760,1
429289,0
407287,1
507821,0
148373,0
396739,0
535224,0
27314,0
68576,1
155213,0
578015,1
285903,1
138081,0
411083,1
565878,0
175312,0
471129,0
298167,0
115967,1
104416,1
445365,1
34261,0
544354,0
534705,0
578818,1
243888,1
136508,0
525741,0
72240,0
526194,0
532232,0
449326,1
421718,0
458528,0
159515,0
158514,0
516374,0
555098,0
71881,0
191047,0
508641,0
199490,0
273752,0
333765,1
412168,1
292506,1
239949,1
362360,1
567753,0
446784,0
35987,0
479444,0
235801,1
194132,0
14852,1
472781,0
245970,1
542178,0
438441,1
457096,0
174373,1
424363,0
130253,0
509853,0
251315,1
178534,0
386711,1
391282,0
577170,0
303185,0
7627,1
119491,1
256970,0
539796,0
423623,0
169357,0
546489,0
555069,0
362433,1
106058,1
566045,0
517226,0
529252,0
192496,0
248762,1
199653,1
431657,0
503669,0
272737,1
544327,0
79110,1
175223,1
413009,0
269387,1
85867,0
154257,0
248281,1
567566,0
353183,0
14889,1
243461,1
367836,0
171220,0
151013,0
506146,0
184713,0
555564,0
44669,0
486336,0
105514,0
182076,1
254696,0
363912,0
8890,0
489127,0
89090,1
53184,1
13773,0
338269,0
298654,1
526067,0
418648,0
60193,0
96649,0
32580,0
369162,0
346928,0
536456,0
154508,0
84689,1
256446,0
77328,0
266993,0
127850,0
65893,0
275951,1
560861,0
432376,0
269780,0
282864,1
133123,0
202337,1
132619,0
532060,0
130773,0
396252,0
292169,1
148743,0
156887,0
539390,0
166545,0
105079,1
548234,0
300824,1
211766,0
129866,0
414963,1
145568,0
498355,0
279374,0
214144,0
244309,1
90132,1
4774,0
384043,0
298262,1
339232,0
241057,1
126791,0
401055,1
244923,0
343182,0
313893,0
453982,1
451813,1
265137,0
288720,1
179318,0
229790,1
327356,1
39005,1
27849,1
493353,0
517780,0
461333,0
492104,0
272673,1
289128,1
525778,0
164528,1
340287,1
570824,0
521512,0
5650,0
154660,0
43157,0
34887,0
382016,1
504493,0
385630,1
314183,0
138262,0
482131,1
405590,1
102104,1
447437,1
438748,0
477400,1
289112,1
554686,0
574052,0
349931,0
351100,0
128513,0
201097,1
463152,1
474227,0
168039,1
230819,0
48761,0
269558,1
92847,0
421005,0
301580,1
504072,0
68205,1
45560,0
334282,0
252525,1
1604,0
235681,0
195288,0
149306,1
543273,0
404871,1
324589,0
148471,0
398486,0
423118,0
399773,0
203674,1
490264,0
421003,0
505257,0
446539,1
103576,1
320139,1
481138,0
11252,0
457448,0
369320,1
444507,1
429630,0
175659,0
55144,0
131855,0
384165,1
77794,0
463399,1
341650,0
89715,1
52385,1
358219,0
11976,0
130542,0
307967,1
289343,1
564590,0
35402,0
386219,0
92857,0
372486,1
435162,1
247790,1
302870,0
471210,0
440436,1
473262,0
239560,1
287652,0
240441,1
565465,0
558402,1
117396,0
436735,0
390956,0
247101,1
398727,0
62846,1
475943,0
452181,1
468545,0
119468,0
68862,1
396155,0
366269,1
200176,1
499324,0
387568,1
550534,0
501144,0
334071,1
141162,0
182979,0
461539,1
278742,1
485731,0
35169,0
517035,0
318623,0
160207,0
227932,1
10415,0
490049,0
36831,0
291379,1
257240,1
505828,0
185698,1
508244,1
162393,0
162572,0
33713,0
394327,0
436883,0
264310,0
191549,1
576551,1
356211,0
435602,0
226293,1
495465,0
110549,1
133965,0
11131,1
229172,1
124058,0
335733,0
435483,0
542748,0
438324,0
12023,1
345271,0
548124,0
244107,1
474482,0
332679,1
437010,0
53814,0
98433,1
514242,0
159380,0
421442,0
255104,1
137585,0
262633,1
20275,1
383874,1
438402,0
285950,1
269275,1
451456,0
391659,0
538866,0
223878,0
22873,1
203974,1
67937,0
474128,0
415423,0
538920,0
185349,0
506150,0
540825,0
12500,1
149640,0
283107,1
21919,1
318215,1
269459,1
182715,1
82459,0
68342,0
403996,1
199753,1
550873,0
324425,0
291699,1
546593,0
29042,1
372403,1
168743,0
230389,0
32556,0
498349,0
360734,1
11267,0
485012,0
42154,0
130958,0
132937,0
456126,1
37102,0
368152,0
541219,0
84038,0
104972,1
413190,0
405049,0
251928,1
52336,0
99486,1
173625,1
493161,0
73185,0
263118,0
372739,0
317835,1
47545,0
363025,1
169762,1
351453,0
486885,0
191405,0
153325,0
129903,0
15171,0
579385,0
313748,0
62655,1
136359,0
503582,0
537546,0
302962,0
289214,1
507157,0
244925,0
288894,1
435453,0
77908,0
367323,0
275995,1
559758,0
524983,0
510495,0
536323,0
453471,1
16767,0
262612,1
299463,1
454847,1
418605,0
69276,0
322283,0
292264,1
142036,0
275390,0
255027,0
304457,1
81544,1
416516,1
265617,0
296644,1
43690,0
437012,0
249987,1
198797,0
553473,0
416141,0
377944,0
386617,1
294583,1
321081,1
48435,0
148993,0
247525,0
566160,0
508098,0
519966,0
456519,1
3983,0
422148,0
315484,1
137106,0
524220,0
317589,0
44010,1
227893,1
182176,0
14068,0
341844,0
277059,1
261550,1
173522,1
130228,0
243027,1
31917,0
401433,1
141570,1
16159,1
524673,0
200613,1
469789,0
111593,1
152025,1
421066,0
153106,1
98887,1
285942,1
297368,1
288656,1
133642,0
565646,0
574955,0
403642,1
144441,0
23236,1
385633,1
370405,0
113242,1
399562,1
461037,1
37460,0
187543,1
119374,1
549789,0
288756,1
308203,1
190719,0
226084,0
309514,1
77803,0
106157,0
110017,1
222887,1
215903,1
109852,1
368227,1
225160,0
408361,1
165875,0
308055,1
377699,0
323493,0
194735,0
417649,0
566028,0
376907,0
296178,1
308140,1
480414,0
579731,0
550789,0
318512,1
86675,0
517611,0
332553,1
221108,0
205719,1
527587,0
448482,1
68908,1
500472,0
217534,1
321513,1
515384,0
141841,0
118255,0
257278,1
86104,0
61208,0
160056,1
314091,0
195926,0
571694,0
518513,0
89513,0
297614,1
112144,1
30802,1
517734,0
308173,1
356175,0
294804,1
239392,1
566723,0
270422,1
345565,0
50978,0
302783,1
24932,1
347930,0
44312,0
556885,0
257420,0
50679,0
241265,0
475007,0
491375,0
577094,0
195280,0
253347,1
69146,0
525986,0
246753,1
58474,0
486365,0
172493,0
83171,1
216133,0
580575,1
218455,1
224318,0
131293,0
444472,0
227149,1
74721,0
490503,0
545246,1
557312,0
25181,1
363309,1
521560,0
410899,0
99851,1
396719,0
119835,0
363048,1
292306,1
264810,0
201777,1
295691,1
184016,0
270973,1
489546,0
135597,0
221002,0
557947,0
59563,0
115294,0
364864,1
61356,0
447362,1
399449,1
521630,0
144051,1
420380,0
87607,0
491872,0
358041,0
115206,1
86483,0
445180,1
77800,0
182894,0
473245,0
257686,1
45627,0
411211,1
433724,0
28852,0
464446,0
252447,0
128959,0
140337,0
186273,1
185267,0
517225,0
88606,0
270748,1
550324,0
402107,0
379291,1
469466,0
14354,1
56097,0
139609,1
206015,1
304767,1
228582,1
367904,0
54056,0
141742,0
348769,0
577293,0
194881,0
280149,0
12876,0
156422,0
179979,0
390951,0
46397,0
552496,0
136951,0
205128,1
279263,1
70774,1
193622,0
557362,0
85918,0
2537,0
119273,1
109145,1
254892,1
18510,0
503196,0
289311,1
147179,0
439317,0
574417,0
250900,1
239383,1
441293,0
293869,1
455441,0
190327,1
21014,1
544400,0
63721,0
89793,0
313446,0
396725,0
78593,0
292765,1
26707,1
519734,0
269482,1
32423,0
271290,1
150594,0
83826,1
6502,0
545118,0
50201,0
405935,1
166291,0
115320,1
353818,0
444239,1
371921,0
391027,0
449084,1
4566,0
80211,0
290035,1
81737,1
178302,1
60010,0
350685,0
519210,1
306596,1
210426,0
103568,1
13794,0
301304,1
271188,1
441998,0
518732,0
66230,0
426598,1
220083,0
274264,0
151737,1
36814,0
148599,0
13635,0
128345,0
545776,1
132080,0
16710,1
372487,1
537491,0
556957,0
341867,0
128313,1
295587,1
19305,0
360512,1
353798,0
412063,0
153006,0
306896,1
573862,0
158589,0
403911,1
420746,0
27631,1
565513,0
365013,0
437187,1
563616,0
395012,0
384357,1
380174,1
286833,0
432446,1
225903,0
212350,0
137985,0
462406,1
138370,0
396717,0
402653,0
207655,1
401759,0
226153,1
272355,1
264828,1
566127,0
470725,0
154809,0
374041,1
271674,1
244709,0
93133,0
290512,1
233799,1
102760,0
220017,0
338981,1
507925,0
321451,1
109966,1
443952,1
